Hora,Nombre completo del usuario,Nombre evento,Descripción,Dirección IP
6/04/2022 09:17,Zubat,Actividad BigBlueButtonBN visualizada,The user with id 90 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,181231132231
6/04/2022 09:17,Zubat,Actividad BigBlueButtonBN visualizada,The user with id 90 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,181231132231
6/04/2022 01:19,Rapidash,Grabación vista,The user with id 106 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,186.22.19.43
6/04/2022 01:18,Rapidash,Actividad BigBlueButtonBN visualizada,The user with id 106 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,186.22.19.43
6/04/2022 01:17,Rapidash,Grabación vista,The user with id 106 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1647366967336 from the course id 1110.,186.22.19.43
6/04/2022 01:17,Rapidash,Actividad BigBlueButtonBN visualizada,The user with id 106 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,186.22.19.43
6/04/2022 01:17,Rapidash,Actividad BigBlueButtonBN visualizada,The user with id 106 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,186.22.19.43
6/04/2022 00:38,Rapidash,Grabación vista,The user with id 106 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1647366967336 from the course id 1110.,186.22.19.43
6/04/2022 00:38,Rapidash,Actividad BigBlueButtonBN visualizada,The user with id 106 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,186.22.19.43
6/04/2022 00:38,Rapidash,Actividad BigBlueButtonBN visualizada,The user with id 106 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,186.22.19.43
6/04/2022 00:24,Snorlax,Grabación vista,The user with id 132 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,191.84.229.34
6/04/2022 00:22,Snorlax,Actividad BigBlueButtonBN visualizada,The user with id 132 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,191.84.229.34
6/04/2022 00:22,Snorlax,Actividad BigBlueButtonBN visualizada,The user with id 132 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,191.84.229.34
6/04/2022 00:17,Rapidash,Grabación vista,The user with id 106 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1647972043612 from the course id 1110.,186.22.19.43
6/04/2022 00:17,Rapidash,Actividad BigBlueButtonBN visualizada,The user with id 106 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,186.22.19.43
6/04/2022 00:17,Rapidash,Actividad BigBlueButtonBN visualizada,The user with id 106 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,186.22.19.43
5/04/2022 21:21,Furret,Actividad BigBlueButtonBN visualizada,The user with id 93 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,181.46.136.207
5/04/2022 19:39,Zubat,Grabación vista,The user with id 90 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,181231132231
5/04/2022 19:39,Zubat,Actividad BigBlueButtonBN visualizada,The user with id 90 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,181231132231
5/04/2022 19:39,Zubat,Actividad BigBlueButtonBN visualizada,The user with id 90 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,181231132231
5/04/2022 19:03,Spearow,Grabación vista,The user with id 59 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,181.22.249.80
5/04/2022 19:03,Spearow,Actividad BigBlueButtonBN visualizada,The user with id 59 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,181.22.249.80
5/04/2022 19:00,Voltorb,Grabación vista,The user with id 84 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1647972043612 from the course id 1110.,186152129220
5/04/2022 19:00,Voltorb,Grabación vista,The user with id 84 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1648576898053 from the course id 1110.,186152129220
5/04/2022 19:00,Voltorb,Actividad BigBlueButtonBN visualizada,The user with id 84 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,186152129220
5/04/2022 18:34,Diglett,Grabación vista,The user with id 33 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,186.22.57.35
5/04/2022 18:34,Diglett,Actividad BigBlueButtonBN visualizada,The user with id 33 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,186.22.57.35
5/04/2022 18:17,Venomoth,Grabación vista,The user with id 25 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,200.127.94.64
5/04/2022 18:17,Venomoth,Actividad BigBlueButtonBN visualizada,The user with id 25 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,200.127.94.64
5/04/2022 17:31,Zubat,Grabación vista,The user with id 90 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,181231132231
5/04/2022 17:31,Zubat,Actividad BigBlueButtonBN visualizada,The user with id 90 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,181231132231
5/04/2022 17:31,Zubat,Actividad BigBlueButtonBN visualizada,The user with id 90 viewed the bigbluebuttonbn activity with id 1524 for the course id 1110.,181231132231
5/04/2022 17:20,Bellsprout,Grabación vista,The user with id 70 has viewed a recording with id 6f35441221a0b2db76067447730f61806c9aea71-1649181643387 from the course id 1110.,181169205115
